,blue_win,TOP_T1,JG_T1,MID_T1,ADC_T1,SUP_T1,TOP_T2,JG_T2,MID_T2,ADC_T2,SUP_T2
198,1,Kayn,Lee Sin,Zoe,Ashe,Gragas,Lucian,Nidalee,Zac,Ezreal,Lulu
199,1,Volibear,Sylas,Lucian,Aphelios,Sona,Renekton,Karthus,Katarina,Senna,Blitzcrank
200,1,Malphite,Hecarim,Taliyah,Jhin,Thresh,Jax,Evelynn,Yone,Aphelios,Tahm Kench
201,0,Volibear,Lee Sin,Akali,Samira,Rakan,Olaf,Kindred,Vel'Koz,Kalista,Thresh
202,1,Irelia,Lillia,Karthus,Lucian,Yuumi,Malphite,Graves,Vel'Koz,Kai'Sa,Rakan
203,0,Volibear,Nidalee,Sylas,Senna,Bard,Renekton,Lillia,Yone,Ezreal,Thresh
204,1,Jayce,Lillia,Galio,Jhin,Thresh,Poppy,Graves,Sylas,Ashe,Sett
205,0,Jayce,Graves,Lulu,Caitlyn,Morgana,Jax,Elise,Galio,Jhin,Senna
206,0,Camille,Graves,Ornn,Caitlyn,Lux,Volibear,Lillia,Lucian,Ezreal,Bard
207,0,Renekton,Graves,Karthus,Senna,Alistar,Shen,Lillia,Yone,Ashe,Karma
208,0,Jax,Olaf,Sylas,Jhin,Karma,Camille,Kindred,Galio,Miss Fortune,Thresh
209,1,Rumble,Graves,Orianna,Aphelios,Braum,Aatrox,Lee Sin,Lucian,Taliyah,Thresh
210,1,Renekton,Kindred,Orianna,Caitlyn,Morgana,Volibear,Graves,Twisted Fate,Jhin,Bard
211,0,Jayce,Lillia,Camille,Ashe,Bard,Ornn,Nidalee,Qiyana,Jhin,Sett
212,0,Tristana,Lee Sin,Yasuo,Sylas,Gragas,Jayce,Graves,Ahri,Jhin,Pantheon
213,1,Urgot,Lee Sin,Lissandra,Aphelios,Leona,Camille,Volibear,Akali,Ashe,Thresh
214,0,Lulu,Hecarim,Galio,Ashe,Bard,Sylas,Lillia,Lucian,Twitch,Rakan
215,0,Volibear,Graves,Jhin,Ahri,Thresh,Renekton,Lillia,Sylas,Ezreal,Bard
216,0,Shen,Nidalee,Lucian,Jhin,Tahm Kench,Camille,Graves,Twisted Fate,Senna,Sett
217,1,Yone,Rek'Sai,Lulu,Ashe,Thresh,Irelia,Hecarim,Sylas,Kai'Sa,Pantheon
218,0,Renekton,Sejuani,Orianna,Ezreal,Braum,Camille,Olaf,Sylas,Yasuo,Gragas
219,1,Jayce,Lillia,Camille,Jhin,Nautilus,Jax,Graves,Sylas,Ezreal,Karma
220,1,Jayce,Graves,Orianna,Kalista,Sett,Wukong,Lillia,Kassadin,Yasuo,Alistar
221,0,Renekton,Lee Sin,Sylas,Jhin,Lux,Urgot,Nidalee,Yone,Senna,Leona
222,0,Volibear,Hecarim,Akali,Senna,Sett,Gangplank,Lillia,Yone,Tristana,Taric
223,0,Ornn,Lillia,Pyke,Twitch,Rakan,Lucian,Lee Sin,Sylas,Ashe,Bard
224,0,Malphite,Ivern,Nocturne,Twitch,Janna,Camille,Lee Sin,Akali,Xayah,Rakan
225,0,Volibear,Hecarim,Akali,Senna,Sett,Gangplank,Lillia,Yone,Tristana,Taric
226,0,Renekton,Graves,Syndra,Samira,Nautilus,Volibear,Lillia,Ahri,Senna,Tahm Kench
227,0,Sett,Lee Sin,Zoe,Kai'Sa,Lulu,Garen,Nidalee,Twisted Fate,Aphelios,Nami
228,1,Ornn,Taliyah,Irelia,Senna,Pantheon,Aatrox,Nidalee,Zoe,Miss Fortune,Shen
229,1,Jayce,Lee Sin,LeBlanc,Ezreal,Pantheon,Urgot,Kayn,Twisted Fate,Ashe,Leona
230,0,Camille,Graves,Kassadin,Ezreal,Taric,Urgot,Nidalee,Galio,Vayne,Sett
231,0,Renekton,Lillia,Sett,Ezreal,Pantheon,Lucian,Fiddlesticks,Camille,Jhin,Gragas
232,0,Camille,Graves,Kassadin,Senna,Bard,Volibear,Nidalee,Gangplank,Ashe,Thresh
233,0,Camille,Kindred,Orianna,Ezreal,Sett,Jayce,Graves,Katarina,Lucian,Pantheon
234,0,Ornn,Graves,Akali,Jhin,Sett,Sylas,Nidalee,Yone,Ashe,Leona
235,0,Renekton,Graves,Akali,Caitlyn,Bard,Shen,Nidalee,Orianna,Ezreal,Yuumi
236,1,Vladimir,Graves,Kassadin,Aphelios,Alistar,Gangplank,Ekko,Orianna,Ezreal,Gragas
237,0,Jax,Elise,Twisted Fate,Senna,Tahm Kench,Camille,Taliyah,Lucian,Aphelios,Pantheon
238,0,Camille,Ekko,Sylas,Ashe,Bard,Irelia,Lee Sin,Sett,Twitch,Taric
239,1,Urgot,Rek'Sai,Lulu,Twitch,Rakan,Cassiopeia,Graves,Katarina,Senna,Sett
240,0,Maokai,Hecarim,Sylas,Senna,Tahm Kench,Shen,Karthus,Ryze,Ashe,Pantheon
241,0,Camille,Graves,Galio,Samira,Bard,Jax,Lee Sin,Zoe,Senna,Alistar
242,0,Syndra,Graves,Maokai,Miss Fortune,Shen,Cassiopeia,Lee Sin,Sylas,Jhin,Janna
243,0,Wukong,Nidalee,Camille,Ezreal,Sett,Lulu,Qiyana,Taliyah,Yone,Pantheon
244,1,Fiora,Sylas,Lucian,Senna,Alistar,Camille,Nidalee,Syndra,Ashe,Pantheon
